,time_period,rainfall,mean_temperature,disease_cases,population,location
31,2003-08,0.0,24.2240104675293,0.0,151964.0,11003
32,2003-09,0.0,25.62830352783205,0.0,151964.0,11003
33,2003-10,0.0,26.95868587493895,0.0,151964.0,11003
34,2003-11,0.0,26.55401611328125,0.0,151964.0,11003
35,2003-12,0.0,26.4002046585083,1.0,151964.0,11003
36,2004-01,0.0,26.4255771636963,6.0,170000.0,11003
37,2004-02,0.0,26.07619857788085,5.0,170000.0,11003
38,2004-03,0.0,26.14155197143555,2.0,170000.0,11003
39,2004-04,0.0,27.0612144470215,3.0,170000.0,11003
40,2004-05,0.0,25.49773406982425,2.0,170000.0,11003
41,2004-06,0.0,25.2159299850464,3.0,170000.0,11003
42,2004-07,0.0,25.2298641204834,5.0,170000.0,11003
43,2004-08,0.0,26.483908653259306,5.0,170000.0,11003
44,2004-09,0.0,26.88888359069825,2.0,170000.0,11003
45,2004-10,0.0,28.203907012939453,11.0,170000.0,11003
46,2004-11,0.0,27.54287242889405,83.0,170000.0,11003
47,2004-12,0.0,26.5824851989746,98.0,170000.0,11003
48,2005-01,0.0,26.88140487670895,277.0,165328.0,11003
49,2005-02,0.0,26.626377105712848,239.0,165328.0,11003
50,2005-03,0.0,26.34929275512695,183.0,165328.0,11003
51,2005-04,0.0,26.48090839385985,33.0,165328.0,11003
52,2005-05,0.0,26.59652519226075,11.0,165328.0,11003
53,2005-06,0.0,25.75743198394775,0.0,165328.0,11003
54,2005-07,0.0,25.17762088775635,1.0,165328.0,11003
55,2005-08,0.0,26.67238998413085,4.0,165328.0,11003
56,2005-09,0.0,25.9924364089966,0.0,165328.0,11003
57,2005-10,0.0,27.29964733123775,0.0,165328.0,11003
58,2005-11,0.0,27.229616165161147,0.0,165328.0,11003
59,2005-12,0.0,26.01482105255129,42.0,165328.0,11003
60,2006-01,0.0,26.6609401702881,25.0,170055.0,11003
61,2006-02,0.0,26.23633766174315,21.0,170055.0,11003
62,2006-03,0.0,26.0844078063965,18.0,170055.0,11003
63,2006-04,0.0,26.107079505920403,22.0,170055.0,11003
64,2006-05,0.0,26.02083587646485,19.0,170055.0,11003
65,2006-06,0.0,25.577724456787102,4.0,170055.0,11003
66,2006-07,0.0,25.776995658874498,6.0,170055.0,11003
67,2006-08,0.0,25.792405128479,0.0,170055.0,11003
68,2006-09,0.0,26.5414962768555,0.0,170055.0,11003
69,2006-10,0.0,27.74672412872315,5.0,170055.0,11003
70,2006-11,0.0,26.51865577697755,9.0,170055.0,11003
71,2006-12,0.0,26.1772232055664,9.0,170055.0,11003
72,2007-01,0.0,26.4569854736328,13.0,160456.0,11003
73,2007-02,0.0,26.385217666625948,7.0,160456.0,11003
74,2007-03,0.0,25.7177991867065,7.0,160456.0,11003
75,2007-04,0.0,26.83606433868405,4.0,160456.0,11003
76,2007-05,0.0,24.5635251998901,4.0,160456.0,11003
77,2007-06,0.0,25.46429443359375,4.0,160456.0,11003
78,2007-07,0.0,25.2580518722534,1.0,160456.0,11003
79,2007-08,0.0,25.12602615356445,2.0,160456.0,11003
80,2007-09,0.0,27.2001132965088,2.0,160456.0,11003
81,2007-10,0.0,27.28625965118405,2.0,160456.0,11003
82,2007-11,0.0,26.952714920043952,2.0,160456.0,11003
83,2007-12,0.0,25.8215742111206,11.0,160456.0,11003
84,2008-01,0.0,25.6730031967163,44.0,164622.0,11003
85,2008-02,0.0,25.672550201416,85.0,164622.0,11003
86,2008-03,0.0,25.5170307159424,103.0,164622.0,11003
87,2008-04,0.0,25.9962978363037,104.0,164622.0,11003
88,2008-05,0.0,24.9172706604004,27.0,164622.0,11003
89,2008-06,0.0,24.0294904708862,15.0,164622.0,11003
90,2008-07,0.0,25.7414512634277,2.0,164622.0,11003
91,2008-08,0.0,26.9488677978516,2.0,164622.0,11003
92,2008-09,0.0,26.2509994506836,0.0,164622.0,11003
93,2008-10,0.0,27.7175464630127,0.0,164622.0,11003
94,2008-11,0.0,27.0127124786377,4.0,164622.0,11003
95,2008-12,0.0,25.9817304611206,19.0,164622.0,11003
96,2009-01,0.0,25.769690513610847,66.0,167103.0,11003
97,2009-02,0.0,25.80467224121095,173.0,167103.0,11003
98,2009-03,0.0,25.858344078064,457.0,167103.0,11003
99,2009-04,0.0,26.5113296508789,59.0,167103.0,11003
100,2009-05,0.0,25.93245601654055,41.0,167103.0,11003
101,2009-06,0.0,24.53828525543215,39.0,167103.0,11003
102,2009-07,0.0,25.46503162384036,27.0,167103.0,11003
103,2009-08,0.0,26.641168594360348,31.0,167103.0,11003
104,2009-09,0.0,26.99192714691165,37.0,167103.0,11003
105,2009-10,0.0,27.8161849975586,125.0,167103.0,11003
106,2009-11,0.0,27.38535499572755,458.0,167103.0,11003
107,2009-12,0.0,25.90781116485595,222.0,167103.0,11003
108,2010-01,0.0,26.18667793273925,325.0,171099.0,11003
109,2010-02,0.0,26.49554824829105,304.0,171099.0,11003
110,2010-03,0.0,26.62175846099855,190.0,171099.0,11003
111,2010-04,0.0,26.694195747375502,48.0,171099.0,11003
112,2010-05,0.0,25.48716259002685,15.0,171099.0,11003
113,2010-06,0.0,25.68720149993895,13.0,171099.0,11003
114,2010-07,0.0,24.99104881286625,17.0,171099.0,11003
115,2010-08,0.0,25.98876667022705,21.0,171099.0,11003
116,2010-09,0.0,27.8066091537476,21.0,171099.0,11003
117,2010-10,0.0,27.43723297119145,15.0,171099.0,11003
118,2010-11,0.0,26.4077272415161,92.0,171099.0,11003
119,2010-12,0.0,26.23793506622315,129.0,171099.0,11003
120,2011-01,0.0,25.85363864898685,54.0,173619.0,11003
121,2011-02,0.0,25.674360275268548,33.0,173619.0,11003
122,2011-03,0.0,25.5560932159424,36.0,173619.0,11003
123,2011-04,0.0,26.57837677001956,22.0,173619.0,11003
124,2011-05,0.0,25.6954107284546,25.0,173619.0,11003
125,2011-06,0.0,25.986643791198706,0.0,173619.0,11003
126,2011-07,0.0,26.3679933547974,1.0,173619.0,11003
127,2011-08,0.0,26.11246490478515,2.0,173619.0,11003
128,2011-09,0.0,27.5553207397461,4.0,173619.0,11003
129,2011-10,0.0,27.49310398101805,6.0,173619.0,11003
130,2011-11,0.0,26.9054889678955,2.0,173619.0,11003
131,2011-12,0.0,26.450595855712898,10.0,173619.0,11003
132,2012-01,0.0,25.923282623291,1.0,176003.0,11003
133,2012-02,0.0,25.6554841995239,3.0,176003.0,11003
134,2012-03,0.0,25.5599584579468,2.0,176003.0,11003
135,2012-04,0.0,26.7407512664795,3.0,176003.0,11003
136,2012-05,0.0,25.97050857543945,8.0,176003.0,11003
137,2012-06,0.0,25.2813892364502,8.0,176003.0,11003
138,2012-07,0.0,25.4340810775757,4.0,176003.0,11003
139,2012-08,0.0,26.361518859863253,3.0,176003.0,11003
140,2012-09,0.0,27.90431118011476,2.0,176003.0,11003
141,2012-10,0.0,28.1024169921875,7.0,176003.0,11003
142,2012-11,0.0,27.113205909729,7.0,176003.0,11003
143,2012-12,0.0,26.2119789123535,8.0,176003.0,11003
144,2013-01,0.0,26.6369409561157,33.0,192354.0,11003
145,2013-02,0.0,26.311676025390653,29.0,192354.0,11003
146,2013-03,0.0,25.949068069458,33.0,192354.0,11003
147,2013-04,0.0,26.5230836868286,18.0,192354.0,11003
148,2013-05,0.0,25.88306331634525,12.0,192354.0,11003
149,2013-06,0.0,25.9393787384033,20.0,192354.0,11003
150,2013-07,0.0,25.38140392303465,20.0,192354.0,11003
151,2013-08,0.0,25.09568500518796,7.0,192354.0,11003
152,2013-09,0.0,26.83474254608155,5.0,192354.0,11003
153,2013-10,0.0,27.11174392700195,19.0,192354.0,11003
154,2013-11,0.0,26.321455001831048,35.0,192354.0,11003
155,2013-12,0.0,26.6697406768799,39.0,192354.0,11003
156,2014-01,0.0,25.811611175537152,26.0,195532.0,11003
157,2014-02,0.0,25.6800136566162,62.0,195532.0,11003
158,2014-03,0.0,25.73362445831296,28.0,195532.0,11003
159,2014-04,0.0,27.04046058654785,18.0,195532.0,11003
160,2014-05,0.0,26.05700683593755,16.0,195532.0,11003
161,2014-06,0.0,26.08893299102785,8.0,195532.0,11003
162,2014-07,0.0,25.3009958267212,2.0,195532.0,11003
163,2014-08,0.0,27.04357624053955,2.0,195532.0,11003
164,2014-09,0.0,28.676884651184054,7.0,195532.0,11003
165,2014-10,0.0,28.1538963317871,5.0,195532.0,11003
166,2014-11,0.0,27.5794095993042,3.0,195532.0,11003
167,2014-12,0.0,26.95248699188236,13.0,195532.0,11003
168,2015-01,0.0,26.4965438842773,17.0,198611.0,11003
169,2015-02,0.0,26.42778968811035,10.0,198611.0,11003
170,2015-03,0.0,26.295485496521,18.0,198611.0,11003
171,2015-04,0.0,26.98754596710205,12.0,198611.0,11003
172,2015-05,0.0,26.1626205444336,1.0,198611.0,11003
173,2015-06,0.0,26.0304555892944,2.0,198611.0,11003
174,2015-07,0.0,26.3874921798706,5.0,198611.0,11003
175,2015-08,0.0,27.8475503921509,1.0,198611.0,11003
176,2015-09,0.0,29.2319164276123,0.0,198611.0,11003
177,2015-10,0.0,28.054403305053743,6.0,198611.0,11003
178,2015-11,0.0,27.535922050476103,7.0,198611.0,11003
179,2015-12,0.0,27.055096626281703,8.0,198611.0,11003
180,2016-01,0.0,27.20574188232425,57.0,201599.0,11003
181,2016-02,0.0,26.38669490814205,74.0,201599.0,11003
182,2016-03,0.0,26.16533565521245,84.0,201599.0,11003
183,2016-04,0.0,27.019763946533203,35.0,201599.0,11003
184,2016-05,0.0,25.34250926971435,17.0,201599.0,11003
185,2016-06,0.0,24.6101751327515,9.0,201599.0,11003
